"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000000003",747.194195359907,-0.35070296228142,0.168242083227575,-2.08451390730246,0.0371134465299012,0.171521712798966,"TSPAN6"
"ENSG00000000005",0,NA,NA,NA,NA,NA,"TNMD"
"ENSG00000000419",520.134160051965,0.206107283859668,0.101041504451637,2.03982793979795,0.0413674659663301,0.185117683677375,"DPM1"
"ENSG00000000457",322.664843927049,0.0245270113332215,0.145133863749003,0.168995785681273,0.865799956262632,0.965984092720909,"SCYL3"
"ENSG00000000460",87.682625164828,-0.147142630021569,0.25699544204927,-0.57254957071713,0.566949713034425,0.829990016294464,"C1orf112"
"ENSG00000000938",0.319166568913118,-1.73228897394308,3.49360097648095,-0.495846258804286,0.620002884826012,NA,"FGR"
"ENSG00000000971",5760.14836162122,0.459281901677213,0.234317862419968,1.96008062268015,0.0499863677098256,0.211338262848876,"CFH"
"ENSG00000001036",2025.39179382894,-0.228243775347817,0.124998993766619,-1.82596490155722,0.0678555488869748,0.258668118689077,"FUCA2"
"ENSG00000001084",652.173308358757,-0.253030788212279,0.202576353338903,-1.24906379269731,0.211641742288212,0.513166612576709,"GCLC"
"ENSG00000001167",411.684395281717,-0.533733422546068,0.22879217943668,-2.33283071064841,0.0196570321518147,0.110898237524063,"NFYA"
"ENSG00000001460",201.336569053853,-0.123557684163705,0.161101482334867,-0.766955600736668,0.443107913943659,0.747897392140033,"STPG1"
"ENSG00000001461",2918.77668675377,0.00210155962293956,0.288715698831919,0.00727899324990645,0.994192254953768,0.997977408339874,"NIPAL3"
"ENSG00000001497",539.501702816792,-0.0573209155426445,0.109328548108302,-0.524299613728172,0.600070165516306,0.851312534557614,"LAS1L"
"ENSG00000001561",115.914401421895,0.286817003150615,0.716013999282694,0.400574574572494,0.688733368113737,0.897932778807818,"ENPP4"
"ENSG00000001617",604.297522477042,-0.192202823229532,0.198689546636883,-0.96735246762022,0.333367863128592,0.657514460204127,"SEMA3F"
"ENSG00000001626",9.6724145714589,-0.286393736029968,0.586213534252416,-0.488548488385209,0.625161389357734,0.865570818271387,"CFTR"
"ENSG00000001629",1826.75812135437,-0.246091168768396,0.190393749933936,-1.29253806311282,0.196170873164401,0.492407719441029,"ANKIB1"
"ENSG00000001630",979.608386428198,-0.179753409132576,0.121371315354502,-1.48102052455764,0.138601104275293,0.402623074761532,"CYP51A1"
"ENSG00000001631",848.723819299268,-0.0712549215345859,0.153647890271716,-0.463754636712396,0.642823547476541,0.875108440330558,"KRIT1"
"ENSG00000002016",203.735815126675,-0.41158255131447,0.228450695010769,-1.80162529728819,0.071604378413691,0.268066391533378,"RAD52"
"ENSG00000002079",3.06484852801131,1.06113089787841,1.77215403624665,0.598780284430488,0.549319411287797,NA,NA
"ENSG00000002330",688.667589034695,0.0103250959424311,0.0964087218920311,0.107097114657264,0.914711936173537,0.98014093482271,"BAD"
"ENSG00000002549",1229.98469317186,0.164300715348876,0.177394153029905,0.926190139542979,0.35434717597734,0.675190056488167,"LAP3"
"ENSG00000002586",8367.26727634875,0.0792894245572872,0.13163558080528,0.602340370834651,0.546947593235908,0.815759967988709,"CD99"
"ENSG00000002587",1.95953335698007,0.399067136453755,1.15871210652346,0.344405771034096,0.730541149391662,NA,"HS3ST1"
"ENSG00000002726",1.53531673945229,0.804935220384771,1.80328135888607,0.446372506663076,0.65532818913382,NA,"AOC1"
"ENSG00000002745",7.28561888515924,-0.616756473606602,1.02004743751259,-0.604635089433272,0.545421486296493,0.814801279027323,"WNT16"
"ENSG00000002746",126.130005973738,0.193681258628373,0.308349671816637,0.628122149400396,0.529923924262588,0.803276764742244,"HECW1"
"ENSG00000002822",351.152304336473,-0.0573889279680193,0.150024114957602,-0.382531354937425,0.702067276197529,0.903271987574679,"MAD1L1"
"ENSG00000002834",8609.18275618938,0.416875049240617,0.108289883983323,3.84962134879394,0.00011830056374099,0.00193386704257346,"LASP1"
"ENSG00000002919",251.500095596273,0.34197277110546,0.144325320694663,2.36945789872134,0.0178141831359018,0.104108105877438,"SNX11"
"ENSG00000002933",546.441449222622,0.404466498425366,1.40062631378887,0.288775453126561,0.77275321777089,0.933388559247032,"TMEM176A"
"ENSG00000003056",1837.96769229328,-0.00770199446878237,0.100379831397277,-0.0767285057323904,0.938839527086188,0.985703137046482,"M6PR"
"ENSG00000003096",414.075308683702,-0.964578694491353,0.191738367701177,-5.03070254564095,4.88685818070497e-07,1.5845834701669e-05,"KLHL13"
"ENSG00000003137",106.506412172302,-1.03077575832245,0.583101196797183,-1.76774762937244,0.0771031035865326,0.280554121036698,"CYP26B1"
"ENSG00000003147",9.33188603208963,0.254913761010384,0.570453091268756,0.446861915400309,0.654974763470152,0.880597266029677,"ICA1"
"ENSG00000003249",122.242063046478,-0.368497893953384,0.353319834404861,-1.04295841351247,0.296967553736703,0.619262506120321,"DBNDD1"
"ENSG00000003393",860.859802380907,0.0548920522695546,0.16683137602243,0.329027150517384,0.742135166396919,0.921537977236075,"ALS2"
"ENSG00000003400",95.3711570248671,-0.17839875911243,0.354605348249486,-0.503090999594613,0.61490029434809,0.859055023801279,"CASP10"
"ENSG00000003402",3368.72335143759,1.16249955330816,0.126132957467341,9.21646155493622,3.07066097794648e-20,8.37041364547683e-18,"CFLAR"
"ENSG00000003436",5053.34063480256,-0.325443610582535,0.199414294162844,-1.63199740494417,0.102680032868844,0.337185099446189,"TFPI"
"ENSG00000003509",302.835086615061,-0.100895604230601,0.125081142687697,-0.806641209558797,0.419873224272877,0.731229823106234,"NDUFAF7"
